"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
23,"Lloyd Winters",1,0,0,0,5.00,24,42,55,97,6,1.20,5,9.00,9.00,6,3,3,4,4,0,1.50,10.80,7.20,7.20,0,0,0,0,1.600,0.333,0.200,6,3,11,13,0.458
16,"Billy Atkinson-Warne",1,0,0,0,4.00,15,27,42,69,1,0.25,0,0.00,0.00,7,2,5,3,2,0,3.50,15.75,4.50,6.75,0,0,0,0,1.250,0.333,0.231,2,1,9,7,0.563
"","TOTALS",1,0,0,0,9.00,39,69,97,166,7,0.78,5,5.00,5.00,13,5,8,7,6,0,2.17,13.00,6.00,7.00,0,0,0,0,1.444,0.333,0.212,8,4,20,20,0.500
